名前,よみ,学校,攻撃,防御,コスト,EX時間（秒）
シロコ（水着）,しろこ（みずぎ）,アビドス,神秘,軽装備,3,
スミレ（アルバイト）,すみれ（あるばいと）,ミレニアム,貫通,軽装備,3,
セナ,せな,ゲヘナ,神秘,軽装備,5,
セリカ（水着）,せりか（みずぎ）,アビドス,神秘,重装甲,6,
セリカ（正月）,せりか（しょうがつ）,アビドス,貫通,特殊装甲,4,
セリナ,せりな,トリニティ,神秘,軽装備,2,
チェリノ（温泉）,ちぇりの（おんせん）,レッドウィンター,爆発,重装甲,6,
チナツ,ちなつ,ゲヘナ,貫通,軽装備,4,
チヒロ,ちひろ,ミレニアム,貫通,重装甲,3,
ツバキ（ガイド）,つばき（がいど）,百鬼夜行,貫通,重装甲,6,45
トモエ（チーパオ）,ともえ（ちーぱお）,レッドウィンター,神秘,特殊装甲,3,25
ナギサ,なぎさ,トリニティ,爆発,重装甲,3,26
ナギサ（水着）,なぎさ（みずぎ）,トリニティ,振動,弾力装甲,3,
ニヤ,にや,百鬼夜行,振動,重装甲,4,
ノドカ,のどか,レッドウィンター,爆発,重装甲,3,30
ノドカ（温泉）,のどか（おんせん）,レッドウィンター,爆発,特殊装甲,4,
ハナエ,はなえ,トリニティ,爆発,重装甲,4,
ハナエ（クリスマス）,はなえ（くりすます）,トリニティ,神秘,特殊装甲,5,
ハナコ,はなこ,トリニティ,貫通,特殊装甲,5,
ハルカ（正月）,はるか（しょうがつ）,ゲヘナ,爆発,軽装備,4,
ハルナ（体操服）,はるな（たいそうふく）,ゲヘナ,振動,重装甲,3,
ハレ,はれ,ミレニアム,爆発,軽装備,4,
ヒナタ（水着）,ひなた（みずぎ）,トリニティ,爆発,軽装備,6,
ヒビキ,ひびき,ミレニアム,爆発,重装甲,4,
ヒフミ（水着）,ひふみ（みずぎ）,トリニティ,貫通,重装甲,10,
ヒマリ,ひまり,ミレニアム,貫通,軽装備,3,13
ヒマリ（臨戦）,ひまり（りんせん）,ミレニアム,貫通,弾力装甲,3,
ヒヨリ,ひより,アリウス,爆発,軽装備,3,
フィーナ（ガイド）,ふぃーな（がいど）,百鬼夜行,爆発,重装甲,6,
フウカ,ふうか,ゲヘナ,爆発,重装甲,5,
フウカ（正月）,ふうか（しょうがつ）,ゲヘナ,貫通,特殊装甲,2,35
フブキ（水着）,ふぶき（みずぎ）,ヴァルキューレ,爆発,重装甲,4,
マキ（キャンプ）,まき（きゃんぷ）,ミレニアム,爆発,重装甲,4,
マコト,まこと,ゲヘナ,貫通,特殊装甲,6,
マシロ,ましろ,トリニティ,爆発,重装甲,3,
マシロ（水着）,ましろ（みずぎ）,トリニティ,神秘,軽装備,3,
マリー,まりー,トリニティ,神秘,特殊装甲,2,20
ミサキ（水着）,みさき（みずぎ）,アリウス,爆発,特殊装甲,6,
ミチル（ドレス）,みちる（どれす）,百鬼夜行,爆発,軽装備,2,
ミノリ,みのり,レッドウィンター,爆発,特殊装甲,4,
ミモリ（水着）,みもり（みずぎ）,百鬼夜行,神秘,特殊装甲,3,20
ミユ（水着）,みゆ（みずぎ）,SRT,爆発,軽装備,5,
モエ,もえ,SRT,貫通,軽装備,4,
ヤクモ,やくも,レッドウィンター,爆発,軽装備,4,
ユズ（メイド）,ゆず（めいど）,ミレニアム,爆発,弾力装甲,5,
ユズ（臨戦）,ゆず（りんせん）,ミレニアム,神秘,特殊装甲,4,
ヨシミ,よしみ,トリニティ,貫通,重装甲,4,
リオ,りお,ミレニアム,神秘,弾力装甲,2,20
リツ,りつ,ワイルドハント,神秘,特殊装甲,2,24
レイサ（マジカル）,れいさ（まじかる）,トリニティ,振動,特殊装甲,4,
佐天涙子,さてんるいこ,その他,貫通,特殊装甲,3,
初音ミク,はつねみく,その他,爆発,軽装備,5,26
